name,token,protocol_tvl,pool_tvl,network,address
"Aave v2 GUSD","GUSD","435782","435782","mainnet","0xD37EE7e4f452C6638c96536e68090De8cBcdb583"
"ETH+","WETH","9133","9133","arbitrum","0xD4939D69B31fbE981ed6904A3aF43Ee1dc777Aab"
"Aave v3 WETH","WETH","199996739","199996739","base","0xD4a0e0b9149BCee3C920d2E00b5dE09138fd8bb7"
"Notional Prime USDT","USDT","186997","186997","arbitrum","0xD63aCe62b925361fc588734022718e919A8081AC"
"Euler Prime WETH","WETH","8978912","8978912","mainnet","0xD8b27CF359b7D15710a5BE299AF6e7Bf904984C2"
"Chorus One <> Obol StakeWise V3","ETH","503199","503199","mainnet","0xDBdEE04c72a02a740B9F26adA9203582c8A99DaF"
"yPT-agETH (auto-rolling Pendle PT)","agETH","185197","185197","mainnet","0xDDa02A2FA0bb0ee45Ba9179a3fd7e65E5D3B2C90"
"Convex Curve Lending WBTC/crvUSD","crvUSD","1761222","1761222","mainnet","0xDF2Cf819DBC1E5a5774eE760D2678330cf4665e2"
"Yearn USDC.e","USDC","6119","6119","arbitrum","0xDa3b69a45797DCA697Ff5bB2c10682f14373c063"
"Stargate USDC","USDC","3636393","3636393","optimism","0xDecC0c09c3B5f6e92EF4184125D5648a66E35298"
"Re7 WBTC","WBTC","8217454","8217454","mainnet","0xE0C98605f279e4D7946d25B75869c69802823763"
"Gravita x NodeSet StakeWise V3","ETH","18270","18270","mainnet","0xE2AEECC76839692AEa35a8D119181b14ebf411c9"
"KysenPool Zen 🧘 StakeWise V3","ETH","117208","117208","mainnet","0xE2D8f982708ce1e3814C8986cBab624cA926288A"
"Ajna Pool rETH/WETH","WETH","71560","71560","mainnet","0xE300B3A6b24cB3c5c87034155F7ffF7F77C862a0"
"Compound v3 WETH","WETH","20256632","20256632","optimism","0xE36A30D249f7761327fd973001A32010b521b6Fd"
"EVK Vault eezETH-3","ezETH","744545","744545","mainnet","0xE3ea69f8661FFac04E269f99C14ba73e2Bb10633"
"Ajna Pool WETH/USDC","USDC","65762","65762","mainnet","0xE4BfB9b344A0Ae89702184281F13A295F3D49e15"
"EVK Vault eUSDT-7","USDT","1155","1155","mainnet","0xE5b9686c0cc4Be8a47eb4ed265d4203EA8232f94"
"Ajna Pool USDC/WBTC","WBTC","9839","9839","mainnet","0xE92Cd0ACF334D1133551bC4c87eA73BbC49Ce711"
"Ankr ankrETH","ETH","46418016","46418016","mainnet","0xE95A203B1a91a908F9B9CE46459d101078c2c3cb"
"Swiss Staking (1.69% fee, MEV) StakeWise V3","ETH","22451","22451","mainnet","0xEA5E8e9732C79584C0980F2Bd3c29d37C747969F"
"Ajna Pool COW/DAI","DAI","26407","26407","mainnet","0xEE9Ad5700E17a95A397827c297958472C6669882"
"Sturdy TBTC/SWBTC silo","tBTC","1352","1352","mainnet","0xEEF271A0071423EA56d38E4aBE748165cc432e3f"
"Arcadia USDC","USDC","3251986","3251986","base","0xEFE32813dBA3A783059d50e5358b9e3661218daD"
"DSRV StakeWise V3","ETH","178727","178727","mainnet","0xEa6Db44b0d7e20f72F2b4B3dEaAA9e710E718Bd9"
"Gauntlet MKR Blended","USDC","1096","1096","mainnet","0xEbFA750279dEfa89b8D99bdd145a016F6292757b"
"EVK Vault ePYUSD-2","PYUSD","1095","1095","mainnet","0xEd667E0DE292C040CF2183302c8DBDe1C06447d7"
"Moonwell USDC","USDC","68970067","68970067","base","0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22"
"Aave V3 DAI Lender","DAI","1712","1712","mainnet","0xEed00e00236cD7F36F2558D8b5fD05046449599D"
"Compound v3 USDC","USDC","8829944","8829944","polygon","0xF25212E676D1F7F89Cd72fFEe66158f541246445"
"9Summits WETH Core","WETH","9083355","9083355","base","0xF540D790413FCFAedAC93518Ae99EdDacE82cb78"
"Yearn-Ajna USDC Vault ","USDC","3435","3435","polygon","0xF54a15F6da443041Bb075959EA66EE47655DDFcA"
"Gauntlet cbBTC Core","cbBTC","5653779","5653779","mainnet","0xF587f2e8AfF7D76618d3B6B4626621860FbD54e3"
"Ajna Pool wstETH/USDC","USDC","3412","3412","mainnet","0xF5B1AD7F82549c2BBf08AAa79c9eFC70C6E46b06"
"EVK Vault eUSDT-6","USDT","1000","1000","mainnet","0xF69FF7901E199AE4Fc354048DA09C23c7699716c"
"Ungoverned WSTETH 001","wstETH","2575735","2575735","mainnet","0xF6E2EfDF175e7a91c8847dade42f2d39A9aE57D4"
"Sturdy PxETH/ApxETH silo","pxETH","1113","1113","mainnet","0xFa68707be4b58FB9F10748E30e25A15113EdEE1D"
"Yearn v2 USDT","USDT","21815","21815","optimism","0xFaee21D0f0Af88EE72BB6d68E54a90E6EC2616de"
"EVK Vault eGRT-1","GRT","5005","5005","mainnet","0xFc323C1727853872A85098EA89a6882853B708dd"
"StakeWise sETH2","ETH","22274416","22274416","mainnet","0xFe2e637202056d30016725477c5da089Ab0A043A"
"Moonwell Flagship ETH","WETH","92482643","92482643","base","0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1"
"Yearn v2 WETH","WETH","62322912","62322912","mainnet","0xa258C4606Ca8206D8aA700cE2143D7db854D168c"
"EVK Vault ePAXG-1","PAXG","100831","100831","mainnet","0xa2f045eC60C624c46F1075FC589Df0f936F822C2"
"Yearn v2 USDC","USDC","10340263","10340263","mainnet","0xa354F35829Ae975e850e23e9615b11Da1B3dC4DE"
"Savings USDS","USDS","558421942","558421942","mainnet","0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD"
"Gearbox USDC.e v3","USDC","51354","51354","arbitrum","0xa76c604145D7394DEc36C49Af494C144Ff327861"
"Convex Curve Lending wstETH/crvUSD","crvUSD","206035","206035","mainnet","0xa968cd9c220E4fD04449cAe0910A120C1d125bc2"
"Re7 Labs Renzo WETH","WETH","3561","3561","mainnet","0xa992d3777282c44ee980E9B0ca9Bd0c0E4f737aF"
"Yearn v2 USDC","USDC","44489","44489","optimism","0xaD17A225074191d5c8a37B50FdA1AE278a2EE6A2"
"EVK Vault eGHO-2","GHO","1047","1047","mainnet","0xaE4D563FC348e0FC3697Ed940b23a86779e095C8"
"Notional Prime USDC","USDC","3303252","3303252","mainnet","0xaEeAfB1259f01f363d09D7027ad80a9d442de762"
"Hop ETH","WETH","3007557","3007557","optimism","0xaa30D6bba6285d0585722e2440Ff89E23EF68864"
"Notional Prime ETH","WETH","1194344","1194344","arbitrum","0xabc07BF91469C5450D6941dD0770E6E6761B90d6"
"Frax sfrxETH","frxETH","378877636","378877636","mainnet","0xac3E018457B222d93114458476f3E3416Abbe38F"
"Rocket Pool rETH","ETH","1769587094","1769587094","mainnet","0xae78736Cd615f374D3085123A210448E74Fc6393"
"Lido stETH","ETH","32731636560","32731636560","mainnet","0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
"Compound v3 USDT","USDT","6092573","6092573","polygon","0xaeB318360f27748Acb200CE616E389A6C9409a07"
"Savings xDAI (sDAI)","WXDAI","69145610","69145610","gnosis","0xaf204776c7245bF4147c2612BF6e5972Ee483701"
"Overnight USDT+","USDT","2509067","2509067","arbitrum","0xb1084db8D3C05CEbd5FA9335dF95EE4b8a0edc30"
"Compound v3 USDC","USDC","15014568","15014568","base","0xb125E6687d4313864e53df431d5425969c15Eb2F"
"Yearn v3 Compound USDC.e","USDC","355091","355091","polygon","0xb1403908F772E4374BB151F7C67E88761a0Eb4f1"
"Silo crvUSD (CRV collateral)","crvUSD","472662","472662","mainnet","0xb27D1729489d04473631f0AFAca3c3A7389ac9F8"
"Reserve eUSD Prime","eUSD","344592","344592","mainnet","0xb2A8bAba27B5D45Db0a4E58275cAf62DEBca7AA2"
"Sturdy GHO/yearn curve GHO-fxUSD LP silo","GHO","106856","106856","mainnet","0xb3Bf04A939aAcFf5BdCFc273CE4F36CF29F063Db"
"sDOLA","DOLA","4832876","4832876","mainnet","0xb45ad160634c528Cc3D2926d9807104FA3157305"
"EVK Vault eWETH-14","WETH","1045","1045","mainnet","0xb4f7761C459D09f414e1190df275be3E24535750"
"Aave v3 crvUSD","crvUSD","445011","445011","mainnet","0xb82fa9f31612989525992FCfBB09AB22Eff5c85A"
"Notional Prime GHO","GHO","21949","21949","mainnet","0xbB828e3d0c96B334FE2CF8F18382Bb11F533e878"
"Notional Prime wstETH","wstETH","704685","704685","arbitrum","0xbC323E3564Fb498E55CDc83a3Ea6bB1AF8402D6B"
"Euler Prime LBTC","LBTC","14923962","14923962","mainnet","0xbC35161043EE2D74816d421EfD6a45fDa73B050A"
"Euler Prime wstETH","wstETH","3202518","3202518","mainnet","0xbC4B4AC47582c3E38Ce5940B80Da65401F4628f1"
"Ajna Pool syrupUSDC/USDC","USDC","116136","116136","mainnet","0xbCda8EE352778071fc7f09B8bfBcD832aa09CeE9"
"Aave V3 USDC Lender","USDC","1242","1242","mainnet","0xbDb97eC319c41c6FA383E94eCE6Bdf383dFC7BE4"
"Fluid Arbitrum","ARB","50450","50450","arbitrum","0xbE3860FD4c3facDf8ad57Aa8c1A36D6dc4390a49"
"Steakhouse PYUSD","PYUSD","12366945","12366945","mainnet","0xbEEF02e5E13584ab96848af90261f0C8Ee04722a"
"Steakhouse ETH","WETH","294179","294179","base","0xbEEf050a7485865A7a8d8Ca0CC5f7536b7a3443e"
"Steakhouse USDA","USDA","500629","500629","base","0xbEEfa1aBfEbE621DF50ceaEF9f54FdB73648c92C"
"Steakhouse USDT","USDT","11941516","11941516","mainnet","0xbEef047a543E45807105E51A8BBEFCc5950fcfBa"
"Morpho eUSD","eUSD","4553181","4553181","base","0xbb819D845b573B5D7C538F5b85057160cfb5f313"
"Steakhouse USDC","USDC","1924065","1924065","base","0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183"
"Gearbox crvUSD Lender ","crvUSD","66756","66756","mainnet","0xbf2e5BeD692C09aF8B39677e315F36aDF39bD685"
"Gauntlet eUSD Core","eUSD","3725961","3725961","mainnet","0xc080f56504e0278828A403269DB945F6c6D6E014"
"USDT-A yVault","USDT","6144","6144","arbitrum","0xc0ba9bfED28aB46Da48d2B69316A3838698EF3f5"
"Gauntlet USDC Core","USDC","2927776","2927776","base","0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12"
"Moonwell Flagship USDC","USDC","36662189","36662189","base","0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca"
"Compound v3 USDC","USDC","479095369","479095369","mainnet","0xc3d688B66703497DAA19211EEdff47f25384cdc3"
"IndexCoop hyETH","WETH","4382165","4382165","mainnet","0xc554929a61d862F2741077F8aafa147479c0b308"
"WETH-1 yVault","WETH","2476372","2476372","mainnet","0xc56413869c6CDf96496f2b1eF801fEDBdFA7dDB0"
"EVK Vault eWETH-12","WETH","344395","344395","mainnet","0xc58Eac02905d34678f552c90De2D4c94bF987B12"
"ajna-apxeth-weth-1","WETH","33712","33712","mainnet","0xc6Ba36F68bABbecc3F5563878d997ce643564048"
"Ajna Pool UNI-V2/DAI","DAI","6612","6612","mainnet","0xc71aD394818474F87f27a5525243de52C278dcb8"
"EVK Vault eTRYB-1","TRYB","140864","140864","mainnet","0xcAd0be6e135C3d2859EA0c872cCD510C962765b7"
"EVK Vault eUSDC-19","USDC","9267530","9267530","mainnet","0xcBC9B61177444A793B85442D3a953B90f6170b7D"
"StakeWise V3 Vault","ETH","103278","103278","mainnet","0xcCa8d532e625d30514Ace25963283228F82CcdDa"
"Ajna Pool wstETH/DAI","DAI","13848","13848","mainnet","0xcD261cd365389A58e6467bb8a83A9E437864e8E5"
"Redacted pxETH aggregator","pxETH","2098640","2098640","mainnet","0xcFB23D05f32eA0BE0dBb5078d189Cca89688945E"
"Compound v2 WBTC2","WBTC","345113604","345113604","mainnet","0xccF4429DB6322D5C611ee964527D42E5d685DD6a"
"Aave v2 LUSD","LUSD","32203","32203","mainnet","0xce1871f791548600cb59efbefFC9c38719142079"
"Stablecoin Maxi USDC","USDC","1573234","1573234","mainnet","0xce45EF0414dE3516cAF1BCf937bF7F2Cf67873De"
"Aave v3 cbETH","cbETH","12690679","12690679","base","0xcf3D55c10DB69f28fD1A75Bd73f3D8A2d9c595ad"
"EVK Vault eWBTC-4","WBTC","1053","1053","mainnet","0xd005125E525664feC9394CEE5466Da15262fFe01"
"Stargate ETH","ETH","3530084","3530084","optimism","0xd22363e3762cA7339569F3d33EADe20127D5F98C"
"Aave v3 FRAX","FRAX","445287","445287","mainnet","0xd4e245848d6E1220DBE62e155d89fa327E43CB06"
" Usual Boosted USDC","USDC","366743589","366743589","mainnet","0xd63070114470f685b75B74D60EEc7c1113d33a3D"
"EVK Vault eONDO-1","ONDO","21313","21313","mainnet","0xd6506dB835B465d5d823add8667362d7b86cFe5F"
"Convex Curve Lending WETH/crvUSD","crvUSD","1981251","1981251","mainnet","0xd6Ab4Ca1fb1D3993db4d37b04621D28B669b671E"
"Compound v3 USDT","USDT","33028883","33028883","arbitrum","0xd98Be00b5D27fc98112BdE293e487f8D4cA57d07"
"Yearn v2 DAI","DAI","16569744","16569744","mainnet","0xdA816459F1AB5631232FE5e97a05BBBb94970c95"
"Yearn v3 Aave USDC.e","USDC","336451","336451","polygon","0xdB92B89Ca415c0dab40Dc96E99Fc411C08F20780"
"Gauntlet LBTC Core","LBTC","70385416","70385416","mainnet","0xdC94785959B73F7A168452b3654E44fEc6A750e4"
"EVK Vault eWETH-15","WETH","1075","1075","mainnet","0xdFD25B2304f4F08031b4125ee49ea2Df6aB8B19b"
"Gearbox USDC v3","USDC","21298233","21298233","mainnet","0xda00000035fef4082F78dEF6A8903bee419FbF8E"
"Gearbox WBTC v3","WBTC","5913939","5913939","mainnet","0xda00010eDA646913F273E10E7A5d1F659242757d"
"Gearbox ETH v3","WETH","40016116","40016116","mainnet","0xda0002859B2d05F66a753d8241fCDE8623f26F4f"
"yPT-rswETH-L2 (auto-rolling Pendle PT)","rswETH","5090","5090","mainnet","0xdc0B53cC326B692a4D89e5F4CadC29a6B7265749"
"Gauntlet USDC Prime","USDC","26016566","26016566","mainnet","0xdd0f28e19C1780eb6396170735D45153D261490d"
"OpenEden TBILL","USDC","77330693","77330693","mainnet","0xdd50C053C096CB04A3e3362E2b622529EC5f2e8a"
"EVK Vault esUSDe-2","sUSDe","18958","18958","mainnet","0xdeb244bc73c00f2C7dbb47FA4DB9674613DEc12C"
"EVK Vault ewstETH-13","wstETH","1665473","1665473","mainnet","0xe11a462235A39C90921C4a59D4E8B2707330BCf2"
"Yearn-Ajna DAI Vault","DAI","507759","507759","mainnet","0xe24BA27551aBE96Ca401D39761cA2319Ea14e3CB"
"MEV Capital WETH Borrowable","WETH","1084240","1084240","mainnet","0xe2D6A2a16ff6d3bbc4C90736A7e6F7Cc3C9B8fa9"
"EVK Vault esUSDS-2","sUSDS","253125","253125","mainnet","0xe3CA8369346A35b0633da9A4Eb48394478C8BEC2"
"Aave v3 WETH","WETH","90366162","90366162","polygon","0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8"
"Aave v3 WETH","WETH","456004323","456004323","arbitrum","0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8"
"Aave v3 WETH","WETH","74803981","74803981","optimism","0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8"
"yPT-weETHs (auto-rolling Pendle PT)","weETHs","71646","71646","mainnet","0xe5175a2EB7C40bC5f0E9DE4152caA14eab0fFCb7"
"Chorus One - MEV Max (StakeWise V3)","ETH","69690455","69690455","mainnet","0xe6d8d8aC54461b1C5eD15740EEe322043F696C08"
